cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC8,5438,Plano (smjer Trogir),D409,D315,70,68.0,68.0,84.0,86.0,2022,68.0,85.0
DC8,5423,Solin (smjer Split),Ž6137,Ž6139,60,61.0,65.0,75.0,80.0,2022,63.0,77.5
DC8,5423,Solin (smjer Trogir),Ž6139,Ž6137,100,84.0,90.0,97.0,100.0,2022,87.0,98.5
DC8,5422,Stobreč (smjer Omiš),D410,Ž6143,70,66.0,66.0,78.0,86.0,2022,66.0,82.0
DC8,5422,Stobreč (smjer Split),Ž6143,D410,70,69.0,69.0,80.0,86.0,2022,69.0,83.0
DC8,5902,Jesenice,Ž6162,L67112,50,55.0,55.0,62.0,63.0,2022,55.0,62.5
DC8,5916,Omiš - zapad,L67120,D70,50,30.0,30.0,38.0,40.0,2022,30.0,39.0
DC8,5910,Brela,D39,L67144,50,59.0,66.0,67.0,73.0,2022,62.5,70.0
DC8,5926,Baško Polje,D76,L67179,80,67.0,67.0,77.0,77.0,2022,67.0,77.0
DC8,6010,Rogotin,L69086,L69005,50,54.0,54.0,61.0,62.0,2022,54.0,61.5
DC8,6501,Klek,L69029,Ž6279,60,65.0,73.0,75.0,84.0,2022,69.0,79.5
DC8,6503,Zaton Doli,Ž6227,D414,90,79.0,83.0,90.0,96.0,2022,81.0,93.0
DC8,6601,Zaton,L69047,Ž6254,60,60.0,60.0,68.0,69.0,2022,60.0,68.5
DC8,6608,Vidikovac,D420,D223,90,59.0,59.0,68.0,69.0,2022,59.0,68.5
DC8,6602,Kupari,L69050,Ž6243,60,55.0,55.0,64.0,69.0,2022,55.0,66.5
DC8,6604,Gruda,L69055,Ž6241,70,64.0,64.0,75.0,75.0,2022,64.0,75.0
DC9,6104,Kula Norinska,L69013,L69012,90,83.0,83.0,97.0,95.0,2022,83.0,96.0
DC10,2008,Sveta Helena (smjer Sv. Helena),A4,D41,110,115.0,115.0,128.0,138.0,2022,115.0,133.0
DC10,2008,Sveta Helena (smjer Dubrava),D41,A4,110,115.0,124.0,133.0,138.0,2022,119.5,135.5
DC10,2030,Vrbovec obilaznica (smjer Dubrava),D41,Ž3079,100,110.0,122.0,128.0,138.0,2022,116.0,133.0
DC10,2030,,Ž3079,D41,100,112.0,122.0,129.0,138.0,2022,117.0,133.5
DC10,2143,Tremovački potok (smjer Križevci),D28,D22,100,115.0,125.0,133.0,139.0,2022,120.0,136.0
DC10,2143,Tremovački potok (smjer Konak),D22,D28,100,116.0,122.0,133.0,138.0,2022,119.0,135.5
DC12,2150,Haganj (smjer Zvonik),D10,D544,100,123.0,130.0,144.0,150.0,2022,126.5,147.0
DC12,2150,Haganj (smjer Fuka),D544,D10,100,114.0,128.0,133.0,150.0,2022,121.0,141.5
DC14,1143,Mokrice,D307,Ž2197,100,102.0,102.0,116.0,116.0,2022,102.0,116.0
DC14,1145,Bedekovcina,Ž2197,Ž2198,100,100.0,105.0,112.0,120.0,2022,102.5,116.0
DC20,1319,Ivanovec,Ž2022,A4,60,79.0,79.0,88.0,92.0,2022,79.0,90.0
DC20,1340,Prelog - istok,Ž2026,L20040,70,75.0,73.0,88.0,86.0,2022,74.0,87.0
DC20,1324,Koprivnica - sjever,L26154,D2,90,75.0,79.0,90.0,95.0,2022,77.0,92.5
DC22,1233,Možđenec,D3,D24,80,78.0,79.0,88.0,90.0,2022,78.5,89.0
DC22,1268,Orehovec,Ž2176,Ž2177,50,54.0,57.0,62.0,68.0,2022,55.5,65.0
DC22,2125,Trema,L26069,Ž2228,90,80.0,79.0,97.0,95.0,2022,79.5,96.0
DC23,3008,Belavići,L34062,Ž3176,60,69.0,69.0,78.0,80.0,2022,69.0,79.0
DC23,3014,Munjava,D42,L34137,60,62.0,58.0,72.0,69.0,2022,60.0,70.5
DC23,4101,Senj - istok,L59009,D8,50,55.0,57.0,63.0,67.0,2022,56.0,65.0
DC24,1230,Konjščina,Ž2170,L22022,50,58.0,60.0,72.0,73.0,2022,59.0,72.5
DC24,1222,Novi Marof zapad,L25134,L25132,50,58.0,57.0,67.0,67.0,2022,57.5,67.0
DC24,1237,Ljubešćica,Ž2136,L25150,90,71.0,72.0,82.0,84.0,2022,71.5,83.0
DC25,1269,Varaždinske Toplice,D526,L25143,70,68.0,61.0,78.0,69.0,2022,64.5,73.5
DC25,4206,Budak,D50,D534,60,62.0,63.0,71.0,72.0,2022,62.5,71.5
DC25,4209,Novoselo Trnovačko,Ž5162,Ž5163,50,70.0,72.0,82.0,86.0,2022,71.0,84.0
DC26,2036,Konak,A12,L31069,50,57.0,64.0,68.0,75.0,2022,60.5,71.5
DC26,2144,Cerina,Ž3284,D43,30,65.0,64.0,75.0,73.0,2022,64.5,74.0
DC26,2218,Uljanik,L37145,L37142,70,77.0,80.0,88.0,92.0,2022,78.5,90.0
DC27,4930,Gračac,D1,D50,50,68.0,72.0,78.0,86.0,2022,70.0,82.0
DC27,4912,Zaton Obrovački,Ž6027,Ž6028,70,69.0,61.0,78.0,71.0,2022,65.0,74.5
DC27,4915,Benkovac,Ž6048,L63123,60,88.0,84.0,103.0,97.0,2022,86.0,100.0
DC27,5303,Gaćelezi,D59,Ž6071,60,89.0,89.0,103.0,106.0,2022,89.0,104.5
DC28,2103,Sveti Ivan Žabno,Ž3041,Ž2229,50,68.0,69.0,77.0,78.0,2022,68.5,77.5
DC28,2102,Predavac,Ž3022,D524,50,50.0,50.0,57.0,64.0,2022,50.0,60.5
DC28,2106,Prespa,Ž3048,Ž3087,70,69.0,69.0,78.0,78.0,2022,69.0,78.0
DC29,1231,Zlatar Bistrica,D24,Ž2202,90,69.0,70.0,80.0,82.0,2022,69.5,81.0
DC29,2004,Kašina,L10004,Ž1001,70,77.0,78.0,90.0,90.0,2022,77.5,90.0
DC30,2043,Petina (smjer Velika Gorica),A3,D30,90,84.0,84.0,97.0,100.0,2022,84.0,98.5
DC30,2043,Petina (smjer Zagreb),D30,A3,90,77.0,79.0,88.0,92.0,2022,78.0,90.0
DC30,2019,Lekenik,L33006,Ž3230,50,65.0,65.0,73.0,73.0,2022,65.0,73.0
DC30,2020,Žažina,D36,Ž3156,50,63.0,63.0,71.0,73.0,2022,63.0,72.0
DC30,3208,Brest Pokupski,Ž3242,D37,50,57.0,59.0,65.0,67.0,2022,58.0,66.0
DC30,3311,Hrvatska Kostajnica,D224,L33159,50,42.0,41.0,47.0,46.0,2022,41.5,46.5
DC33,5001,Knin - sjever,L65009,Ž6080,60,64.0,66.0,75.0,78.0,2022,65.0,76.5
DC33,5003,Knin - jug,D1,Ž6056,50,60.0,60.0,72.0,71.0,2022,60.0,71.5
DC33,5442,Moseć,D56,Ž6094,70,70.0,70.0,80.0,80.0,2022,70.0,80.0
DC33,5412,Pakovo Selo,Ž6094,L65083,70,99.0,101.0,116.0,116.0,2022,100.0,116.0
DC33,5322,Dubrava Šibenska,Ž6091,D8,70,73.0,73.0,82.0,88.0,2022,73.0,85.0
DC34,2411,Podravska Moslavina,Ž4030,Ž4031,90,95.0,96.0,112.0,112.0,2022,95.5,112.0
DC34,2419,Donji Miholjac obilaznica,Ž4032,D53,90,85.0,85.0,97.0,97.0,2022,85.0,97.0
DC34,2405,Šag,Ž4051,L44028,70,63.0,69.0,73.0,82.0,2022,66.0,77.5
DC35,1216,Kaniža zapad,Ž2084,Ž2102,50/70,75.0,75.0,88.0,84.0,2022,75.0,86.0
DC35,1123,Gornja Šemnica,Ž2125,Ž2122,50,68.0,73.0,77.0,84.0,2022,70.5,80.5
DC36,3201,Novo Selo Palanječko,Ž3206,L33055,60,66.0,67.0,75.0,77.0,2022,66.5,76.0
DC36,2127,Popovača - zapad,A3,Ž3124,50,58.0,60.0,67.0,69.0,2022,59.0,68.0
DC37,3202,Novo Selište,D30,Ž3198,50,65.0,63.0,73.0,71.0,2022,64.0,72.0
DC38,3401,Pakrac - istok,D5,L41017,50,67.0,69.0,78.0,80.0,2022,68.0,79.0
DC38,3504,Pasikovci,Ž4113,L41018,50,75.0,74.0,90.0,90.0,2022,74.5,90.0
DC38,3505,Kuzmica,L41054,Ž4116,50,51.0,50.0,61.0,62.0,2022,50.5,61.5
DC38,3507,Pleternica - istok,L41078,L41063,50,66.0,64.0,80.0,75.0,2022,65.0,77.5
DC39,5908,Cista Provo - jug,L67137,Ž6171,80,91.0,87.0,106.0,103.0,2022,89.0,104.5
DC39,5903,Gornja Brela,Ž6166,L67134,60,67.0,69.0,75.0,80.0,2022,68.0,77.5
DC41,1311,Sokolovac,L26006,L26073,60,60.0,61.0,69.0,71.0,2022,60.5,70.0
DC42,3041,Gomirje,A6,L58038,60,60.0,58.0,69.0,67.0,2022,59.0,68.0
DC42,4314,Čatrnja,L34161,D1,60,70.0,70.0,80.0,82.0,2022,70.0,81.0
DC43,1314,Hampovica,Ž2183,Ž2236,50,58.0,57.0,65.0,64.0,2022,57.5,64.5
DC43,2140,Kupinovac,Ž3028,D28,60,67.0,68.0,77.0,80.0,2022,67.5,78.5
DC44,2145,Bjelovar,D28,D544,50,62.0,62.0,71.0,72.0,2022,62.0,71.5
DC43,2108,Narta - sjever,D28,Ž3084,60,75.0,77.0,86.0,88.0,2022,76.0,87.0
DC43,2015,Caginec,Ž3124,Ž3074,50,62.0,62.0,71.0,69.0,2022,62.0,70.0
DC44,2806,Lupoglav - sjever,L50080,Ž5014,50,64.0,70.0,77.0,82.0,2022,67.0,79.5
DC44,2207,Veliki Zdenci,Ž3136,Ž3133,70,70.0,68.0,86.0,90.0,2022,69.0,88.0
DC45,2115,Kapelica,D26,L37138,50,55.0,54.0,63.0,63.0,2022,54.5,63.0
DC45,3321,Kutina - sjever,Ž3163,L33070,50,56.0,56.0,64.0,64.0,2022,56.0,64.0
DC46,3708,Stari Mikanovci,Ž4133,Ž4166,70,63.0,64.0,73.0,73.0,2022,63.5,73.0
DC46,3722,Vinkovci obilaznica,D518,D55,80,76.0,73.0,90.0,84.0,2022,74.5,87.0
DC46,3711,Srijemske Laze,Ž4150,L46027,50,51.0,58.0,57.0,68.0,2022,54.5,62.5
DC46,3810,Tovarnik,Ž4233,GP,90,65.0,68.0,78.0,80.0,2022,66.5,79.0
DC47,3306,Bročice,Ž3250,Ž3253,80,83.0,83.0,95.0,95.0,2022,83.0,95.0
DC49,3531,Batrina istok,Ž4158,Ž4244,70,68.0,70.0,78.0,82.0,2022,69.0,80.0
DC50,4203,Otočac (Brlog),A1,Ž5140,50,70.0,74.0,82.0,86.0,2022,72.0,84.0
DC50,4205,Ličko Lešće,Ž5144,Ž5147,50,54.0,52.0,63.0,61.0,2022,53.0,62.0
DC50,4905,Sveti Rok,A1,L59116,50,74.0,74.0,92.0,95.0,2022,74.0,93.5
DC51,3530,Bektež,Ž4117,L41045,50,78.0,75.0,92.0,88.0,2022,76.5,90.0
DC51,3524,Eminovci,L41033,D38,50,55.0,53.0,60.0,59.0,2022,54.0,59.5
DC51,3515,Oblakovac,D38,L41019,50,74.0,79.0,88.0,90.0,2022,76.5,89.0
DC52,4204,Vrhovine,Ž5130,L59140,90,73.0,79.0,84.0,90.0,2022,76.0,87.0
DC53,2417,Donji Miholjac - istok,Ž4295,D34,50,56.0,55.0,65.0,64.0,2022,55.5,64.5
DC53,2409,Velimirovac,Ž4075,D2,50,56.0,59.0,67.0,72.0,2022,57.5,69.5
DC53,3603,Gradac Našički,L44094,D51,50,71.0,68.0,84.0,80.0,2022,69.5,82.0
DC53,3503,Čaglin,L41046,Ž4124,90,69.0,70.0,82.0,82.0,2022,69.5,82.0
DC53,3607,Rastušje,L42038,L42039,50,56.0,59.0,64.0,67.0,2022,57.5,65.5
DC53,3516,Slavonski Brod,D525,D72,60,74.0,74.0,84.0,88.0,2022,74.0,86.0
DC55,3706,Nuštar,Ž4134,Zvonimirova,50,62.0,62.0,71.0,67.0,2022,62.0,69.0
DC55,3740,Vinkovci istočna obilaznica,Zvonimirova,D46,80,89.0,97.0,100.0,112.0,2022,93.0,106.0
DC55,3710,Kunjevci,Ž4192,Ž4193,60,79.0,79.0,95.0,97.0,2022,79.0,96.0
DC55,3719,Županja,L46045,GP,40,51.0,54.0,62.0,64.0,2022,52.5,63.0
DC56,4829,Tromilja,D502,Ž6021,60,76.0,81.0,86.0,92.0,2022,78.5,89.0
DC56,4916,Raštević,L63178,L63203,70,87.0,90.0,103.0,106.0,2022,88.5,104.5
DC56,5329,Bulić,L63151,L63151,50,78.0,77.0,92.0,92.0,2022,77.5,92.0
DC56,5306,Skradin,Ž6075,G.A.P.,40,34.0,37.0,45.0,47.0,2022,35.5,46.0
DC56,5413,Kljake,Ž6097,Ž6099,50,81.0,86.0,95.0,100.0,2022,83.5,97.5
DC58,5326,Bioci,luka,D8,50,64.0,64.0,73.0,75.0,2022,64.0,74.0
DC58,5320,Donje Polje,D8,D531,60,67.0,71.0,78.0,84.0,2022,69.0,81.0
DC58,5406,Seget Donji,Ž6129,D8,50,62.0,63.0,73.0,71.0,2022,62.5,72.0
DC59,5319,Čista Mala - jug,Ž6071,D27,80,89.0,90.0,100.0,103.0,2022,89.5,101.5
DC60,5510,Cista Velika,L67226,Ž6153,60,80.0,82.0,95.0,95.0,2022,81.0,95.0
DC60,5901,Lovreć,L67101,Ž6173,60,65.0,68.0,75.0,80.0,2022,66.5,77.5
DC60,6001,Grubine,L67159,Ž6186,60,61.0,61.0,69.0,72.0,2022,61.0,70.5
DC60,6012,Vinjani Donji,D76,L67171,50,60.0,65.0,69.0,75.0,2022,62.5,72.0
DC62,6014,Zagvozd,D76,L67143,50,44.0,52.0,51.0,61.0,2022,48.0,56.0
DC64,2820,Pićan,L50086,L50123,50,65.0,67.0,73.0,77.0,2022,66.0,75.0
DC66,2815,Stepčići,L50185,D64,60,66.0,66.0,77.0,80.0,2022,66.0,78.5
DC66,2814,Medveja,Ž5082,Ž5050,50,59.0,57.0,67.0,65.0,2022,58.0,66.0
DC66,2813,Opatija - jug,Ž5048,Ž5051,50,49.0,49.0,56.0,57.0,2022,49.0,56.5
DC69,2306,Voćin,L40069,Ž4100,50,55.0,61.0,69.0,75.0,2022,58.0,72.0
DC70,5918,Omiš - sjever,D8,Ž6165,50,48.0,48.0,55.0,55.0,2022,48.0,55.0
DC72,3626,Slavonski Brod 2,D53,D423,50,49.0,49.0,56.0,58.0,2022,49.0,57.0
DC74,1126,Bednja,L25013,L25108,40,57.0,57.0,64.0,65.0,2022,57.0,64.5
DC75,2755,Marija na Krasu,L50005,D75,80,70.0,80.0,82.0,90.0,2022,75.0,86.0
DC75,2708,Dajla,L50040,D301,50,57.0,57.0,65.0,67.0,2022,57.0,66.0
DC75,2765,Vrvari,L50046,D302,70,58.0,58.0,67.0,71.0,2022,58.0,69.0
DC75,2757,Funtana,L50091,Ž5071,60,63.0,63.0,71.0,67.0,2022,63.0,69.0
DC75,2717,Bale,Ž5098,Ž5096,60,66.0,66.0,80.0,80.0,2022,66.0,80.0
DC76,6026,Tunel Sveti Ilija,L67177,A1,100,77.0,77.0,86.0,92.0,2022,77.0,89.0
DC77,2751,Žminj,Ž5077,L50132,60,77.0,77.0,88.0,88.0,2022,77.0,88.0
DC77,3915,Vodnjan,L50144,Ž5101,50,78.0,80.0,90.0,95.0,2022,79.0,92.5
DC100,4006,Cres,D101,Ž5124,40,77.0,76.0,90.0,88.0,2022,76.5,89.0
DC100,4003,Ćunski,L58115,Ž5157,60,65.0,66.0,75.0,77.0,2022,65.5,76.0
DC102,2922,Omišalj,Ž5083,L58065,90,79.0,79.0,90.0,84.0,2022,79.0,87.0
DC102,2934,Krk,Ž5131,Ž5131,80,76.0,76.0,86.0,90.0,2022,76.0,88.0
DC102,2946,Punat sjever,Ž5125,Ž5183,80,63.0,72.0,75.0,84.0,2022,67.5,79.5
DC104,2947,Strilčići,L58070,L58085,60,78.0,79.0,90.0,95.0,2022,78.5,92.5
DC105,4106,Barbat na Rabu,Ž5139,TP,40/60,64.0,60.0,75.0,71.0,2022,62.0,73.0
DC106,4822,Vulete,Ž6016,Ž6017,50,75.0,74.0,88.0,86.0,2022,74.5,87.0
DC113,5907,Supetar - jug,D114,L67172,60,50.0,47.0,56.0,53.0,2022,48.5,54.5
DC116,5927,Dubovica,Ž6280,Ž6252,50,65.0,61.0,75.0,71.0,2022,63.0,73.0
DC116,5917,Jelsa,L67194,L67196,90,67.0,64.0,78.0,75.0,2022,65.5,76.5
DC118,6403,Žrnovo,L69073,L69073,60,76.0,78.0,88.0,90.0,2022,77.0,89.0
DC120,6504,Babino Polje,L69037,D123,50,51.0,52.0,65.0,65.0,2022,51.5,65.0
DC126,5443,Trogir,Ž6133,Ž6134,50,47.0,42.0,54.0,51.0,2022,44.5,52.5
DC126,5445,Mastrinka,Ž6134,Ž6136,40,57.0,57.0,65.0,64.0,2022,57.0,64.5
DC200,2701,Plovanija,GP,D510,60,57.0,58.0,64.0,67.0,2022,57.5,65.5
DC203,2936,Mala Lešnica,L58022,D3,50,58.0,53.0,67.0,63.0,2022,55.5,65.0
DC204,3040,Bosanci,D3,Ž3175,50,79.0,77.0,88.0,88.0,2022,78.0,88.0
DC207,1124,Hromec,GP,Ž2096,50,69.0,67.0,78.0,78.0,2022,68.0,78.0
DC208,1202,Trnovec,GP,Ž2009,50,58.0,57.0,67.0,65.0,2022,57.5,66.0
DC209,1001,Mursko Središće,Ž2003,L20003,50,52.0,46.0,61.0,52.0,2022,49.0,56.5
DC209,1201,Šenkovec,Ž2016,D227,50,53.0,53.0,61.0,65.0,2022,53.0,63.0
DC212,2502,Suza,Ž4037,L44011,60,74.0,74.0,86.0,86.0,2022,74.0,86.0
DC214,4501,Posavski Podgajci,Ž4230,L46054,90,88.0,92.0,103.0,109.0,2022,90.0,106.0
DC216,3109,Miholjsko,Ž3224,L34144,50,75.0,77.0,86.0,86.0,2022,76.0,86.0
DC217,4301,Ličko Petrovo Selo,D504,GP,60,68.0,67.0,78.0,77.0,2022,67.5,77.5
DC220,5520,Ćaporice,Ž6260,D60,90,90.0,98.0,103.0,112.0,2022,94.0,107.5
DC220,5506,Kamensko,Ž6125,L67104,60,82.0,77.0,93.0,90.0,2022,79.5,91.5
DC223,6610,Dubac,Ž6243,D8,50,65.0,65.0,73.0,72.0,2022,65.0,72.5
DC224,3304,Sunja,Ž3244,Ž3211,50,53.0,56.0,61.0,64.0,2022,54.5,62.5
DC227,1243,Brezje,Ž2015,D209,90,77.0,78.0,88.0,88.0,2022,77.5,88.0
DC228,1805,Kamanje,L34021,Ž3296,80,62.0,60.0,71.0,69.0,2022,61.0,70.0
DC228,1934,Mahićno,Ž3143,D1,50,60.0,61.0,69.0,68.0,2022,60.5,68.5
DC306,4808,Kožino,L63049,L63052,90,69.0,69.0,78.0,78.0,2022,69.0,78.0
