cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC25,4209,Novoselo Trnovačko,D50,Ž5199,50,69.0,71.0,82.0,86.0,2023,70.0,84.0
DC26,2218,Uljanik,Ž3168,Ž3169,70,78.0,81.0,90.0,95.0,2023,79.5,92.5
DC27,4930,Gračac,D1,D50,50,71.0,75.0,82.0,88.0,2023,73.0,85.0
DC27,4912,Zaton Obrovački,Ž6027,Ž6028,70,69.0,61.0,80.0,72.0,2023,65.0,76.0
DC27,4915,Benkovac,Ž6048,L63123,90/60,89.0,84.0,103.0,97.0,2023,86.5,100.0
DC27,5317,Gornje Ceranje,Ž6064,Ž6066,70,96.0,99.0,112.0,120.0,2023,97.5,116.0
DC27,5303,Gaćelezi,D59,Ž6071,60,91.0,92.0,106.0,109.0,2023,91.5,107.5
DC28,2103,Sveti Ivan Žabno,Ž3041,Ž2229,50,67.0,69.0,75.0,78.0,2023,68.0,76.5
DC28,2102,Predavac,Ž3022,Ž3300,50,50.0,56.0,57.0,64.0,2023,53.0,60.5
DC28,2104,Bjelovarska obilaznica,Ž3022,D43,90/60,66.0,70.0,75.0,82.0,2023,68.0,78.5
DC28,2106,Prespa,D548,Ž3029,70,71.0,69.0,80.0,78.0,2023,70.0,79.0
DC29,1231,Zlatar Bistrica,D24,Ž2202,90,70.0,70.0,80.0,82.0,2023,70.0,81.0
DC29,2004,Kašina,Ž2224,D3,70,78.0,78.0,90.0,92.0,2023,78.0,91.0
DC30,2043,Petina (smjer Velika Gorica),A3,D30,90,83.0,88.0,95.0,100.0,2023,85.5,97.5
DC30,2043,Petina (smjer Zagreb),D30,A3,90,76.0,79.0,88.0,90.0,2023,77.5,89.0
DC30,2019,Lekenik,L33006,Ž3230,50,66.0,66.0,75.0,75.0,2023,66.0,75.0
DC30,3208,Brest Pokupski,Ž3242,D37,50,59.0,60.0,67.0,68.0,2023,59.5,67.5
DC30,3311,Hrvatska Kostajnica,D224,D47,50,42.0,41.0,47.0,46.0,2023,41.5,46.5
DC33,5003,Knin - jug,D1,Ž6056,50,59.0,59.0,72.0,69.0,2023,59.0,70.5
DC33,5442,Moseć,D56,Ž6094,70,70.0,70.0,80.0,78.0,2023,70.0,79.0
DC33,5412,Pakovo Selo,Ž6094,L65083,70,100.0,101.0,116.0,120.0,2023,100.5,118.0
DC33,5322,Dubrava Šibenska,A1,D8,80,73.0,80.0,82.0,88.0,2023,76.5,85.0
DC34,2419,Donji Miholjac obilaznica,Ž4032,D53,90,86.0,85.0,100.0,99.0,2023,85.5,99.5
DC34,2405,Šag,Ž4051,L44028,70,64.0,69.0,75.0,82.0,2023,66.5,78.5
DC35,1267,Vidovec,D2,Ž2061,50,46.0,49.0,53.0,57.0,2023,47.5,55.0
DC35,1213,Greda,L25042,Ž2063,60,61.0,63.0,69.0,72.0,2023,62.0,70.5
DC35,1216,Kaniža zapad,Ž2084,Ž2102,50/70,74.0,72.0,86.0,82.0,2023,73.0,84.0
DC35,1123,Gornja Šemnica,Ž2125,Ž2122,50,68.0,73.0,77.0,84.0,2023,70.5,80.5
DC36,3201,Novo Selo Palanječko,D37,D232,60,68.0,68.0,78.0,78.0,2023,68.0,78.0
DC36,2127,Popovača - zapad,A3,Ž3124,50,57.0,58.0,65.0,68.0,2023,57.5,66.5
DC37,3215,Sisak,D36,D224,50,58.0,59.0,65.0,67.0,2023,58.5,66.0
DC37,3203,Petrinja,D224,L33051,50,58.0,59.0,65.0,65.0,2023,58.5,65.0
DC37,3202,Novo Selište,D30,Ž3198,50,65.0,62.0,73.0,72.0,2023,63.5,72.5
DC38,3505,Kuzmica,D38,Ž4116,50,50.0,49.0,61.0,62.0,2023,49.5,61.5
DC39,5908,Cista Provo - jug,Ž6171,Ž6172,80,91.0,89.0,106.0,106.0,2023,90.0,106.0
DC39,5903,Gornja Brela,Ž6166,L67134,60,67.0,70.0,75.0,80.0,2023,68.5,77.5
DC41,1310,Peteranec,Ž2114,Ž2113,50,69.0,71.0,80.0,84.0,2023,70.0,82.0
DC41,1311,Sokolovac,L26073,Ž2139,60,60.0,61.0,69.0,71.0,2023,60.5,70.0
DC42,4314,Čatrnja,L34161,D1,60,70.0,70.0,82.0,82.0,2023,70.0,82.0
DC43,1314,Hampovica,Ž2183,Ž2236,50,58.0,57.0,67.0,64.0,2023,57.5,65.5
DC43,2140,Kupinovac,Ž3025,D28,60,67.0,69.0,78.0,80.0,2023,68.0,79.0
DC44,2145,Bjelovar,D28,D544,50,62.0,63.0,71.0,72.0,2023,62.5,71.5
DC44,2706,Fontana,L50029,Ž5013,50,72.0,79.0,84.0,92.0,2023,75.5,88.0
DC44,2806,Lupoglav - sjever,L50080,Ž5014,50,64.0,70.0,75.0,82.0,2023,67.0,78.5
DC44,2207,Veliki Zdenci,D28,Ž3136,70,69.0,68.0,86.0,90.0,2023,68.5,88.0
DC45,2115,Kapelica,L37138,Ž3164,50,56.0,55.0,64.0,64.0,2023,55.5,64.0
DC45,3321,Kutina - sjever,Ž3163,L33070,50,56.0,55.0,63.0,64.0,2023,55.5,63.5
DC46,3708,Stari Mikanovci,Ž4133,Ž4166,70,63.0,64.0,73.0,73.0,2023,63.5,73.0
DC46,3722,Vinkovci obilaznica,D518,D55,80,76.0,73.0,90.0,84.0,2023,74.5,87.0
DC46,3711,Srijemske Laze,Ž4150,L46027,50,50.0,57.0,57.0,68.0,2023,53.5,62.5
DC46,3810,Tovarnik,Ž4233,GP,90,66.0,66.0,80.0,80.0,2023,66.0,80.0
DC47,3306,Bročice,D312,Ž3250,80,82.0,80.0,95.0,92.0,2023,81.0,93.5
DC49,3531,Batrina istok,Ž4158,Ž4244,70,68.0,70.0,78.0,82.0,2023,69.0,80.0
DC50,4203,Otočac (Brlog),A1,Ž5140,50,71.0,75.0,82.0,88.0,2023,73.0,85.0
