counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon,matched_oznaka_ceste,kategorija_full,seg_id,dist_m,match_method,confidence
5910,DC,DC8,Brela,DC39,LC67144,4.0,43.389351,16.902886,DC8,državna cesta,7636,0.385406357922814,exact_road_name,high
5916,DC,DC8,Omiš - zapad,LC67120,DC70,0.7,43.44573,16.688154,DC8,državna cesta,7639,1.6414834062071226,exact_road_name,high
5917,DC,DC116,Jelsa,LC67194,LC67234,0.5,43.15679,16.686805,DC116,državna cesta,343,6.717715237978057,exact_road_name,high
5918,DC,DC70,Omiš - sjever,DC8,ŽC6165,4.1,43.448631,16.692765,DC70,državna cesta,7435,1.191382142679444,exact_road_name,high
5919,DC,DC115,Gornji Humac,DC113,ŽC6192,1.0,43.28772,16.71753,DC115,državna cesta,337,0.5744443832256096,exact_road_name,high
5920,ZC,ŽC6161,Supetar,DC113,LC67171,5.3,43.3809,16.5667,ŽC6161,županijska cesta,6374,1.861303560239884,exact_road_name,high
5921,ZC,ŽC6191,Bol,ŽC6190,DC115,19.6,43.2639,16.61397,ŽC6191,županijska cesta,6415,1.7579745132678128,exact_road_name,high
5922,ZC,ŽC6260,Katuni,LC67100,DC39,2.44,43.45863,16.90483,ŽC6260,županijska cesta,6552,3.746749953072038,exact_road_name,high
5923,ZC,ŽC6263,Blato na Cetini,ŽC6260,DC70,2.8,43.46562,16.83878,ŽC6263,županijska cesta,6559,9.000383604367045,exact_road_name,high
5924,LC,LC67194,Pitve,LC67190,DC116,1.8,43.15632,16.68077,LC67194,lokalna cesta,7228,0.6551371708449673,exact_road_name,high
5925,ZC,ŽC6166,Omiš,DC8,LC67123,4.6,43.44752,16.6945,ŽC6166,županijska cesta,6385,2.8658288035710373,exact_road_name,high
5926,DC,DC8,Baško Polje,DC76,LC67179,1.0,43.3457,16.96998,DC8,državna cesta,7636,10.080012180984726,exact_road_name,high
5927,DC,DC116,Dubovica,ŽC6280,ŽC6252,5.5,43.1668,16.5578,DC116,državna cesta,342,24.542152370040967,exact_road_name,high
6001,DC,DC60,Grubine,LC67159,ŽC6186,2.6,43.430018,17.170582,DC60,državna cesta,6061,4.069762500339314,exact_road_name,high
6004,DC,DC8,Živogošće,LC67198,LC67198,2.8,43.194522,17.154958,DC8,državna cesta,7647,5.858606625203685,exact_road_name,high
6009,ZC,ŽC6276,Baćina,LC69003,DC8,1.4,43.067538,17.430759,ŽC6276,županijska cesta,6588,2.1787078952134733,exact_road_name,high
6010,DC,DC8,Rogotin,LC69086,LC69005,0.8,43.052612,17.473999,DC8,državna cesta,7631,0.6336601016053266,exact_road_name,high
6012,DC,DC60,Vinjani Donji,DC76,LC67161,2.1,43.44265,17.23558,DC60,državna cesta,6065,1.884389632232042,exact_road_name,high
6014,DC,DC62,Zagvozd,DC76,DC76,0.65,43.399583,17.050145,DC62,državna cesta,6432,1.8572936058401264,exact_road_name,high
6023,ZC,ŽC6208,Vrgorac,A1,ŽC6211,0.9,43.193037,17.379942,ŽC6208,županijska cesta,6453,4.233619690858634,exact_road_name,high
6024,ZC,ŽC6182,Kamenmost,DC60,LC67162,2.0,43.429298,17.198879,ŽC6182,županijska cesta,6403,0.9324829874740411,exact_road_name,high
6025,ZC,ŽC6199,Gornje Igrane,DC62,DC512,11.2,43.236934,17.145951,ŽC6199,županijska cesta,6431,1.068534587290692,exact_road_name,high
6026,DC,DC76,Tunel Sveti Ilija,LC67177,LC67143,6.1,43.3938,17.03715,DC76,državna cesta,7601,6.698930462190068,exact_road_name,high
6033,ZC,ŽC6157,Glavina Donja,LC67157,DC60,1.2,43.4416,17.20263,ŽC6157,županijska cesta,6371,8.788048793499476,exact_road_name,high
6034,ZC,ŽC6209,Orah,LC67207,G.P.,0.7,43.2161,17.42448,ŽC6209,županijska cesta,6458,0.18146859933186893,exact_road_name,high
6035,ZC,ŽC6208,Staševica,LC69085,ŽC6276,6.8,43.13627,17.43262,ŽC6208,županijska cesta,6454,2.0261457387821524,exact_road_name,high
6037,DC,DC76,Poljica,LC67160,ŽC6183,2.0,43.42505,17.1313,DC76,državna cesta,7600,14.803197699588544,exact_road_name,high
6038,DC,DC413,Ploče,DC425,ŽC6216,1.0,43.04736,17.44037,DC413,državna cesta,3897,3.410531337559089,exact_road_name,high
6039,DC,DC512,Stupica,ŽC6198,ŽC6199,8.2,43.25777,17.08117,DC512,državna cesta,5317,3.91377140554629,exact_road_name,high
6104,DC,DC9,Kula Norinska,LC69013,LC69012,2.2,43.034301,17.616238,DC9,državna cesta,7870,5.235906935441644,exact_road_name,high
6107,ZC,ŽC6217,Banja,DC8,LC69009,2.4,43.04423,17.50217,ŽC6217,županijska cesta,6474,2.616093379540628,exact_road_name,high
6108,LC,LC69010,Opuzen,DC8,ŽC6219,2.3,43.01317,17.54983,LC69010,lokalna cesta,7297,3.6550891479717875,exact_road_name,high
6109,LC,LC69012,Krvavac,LC69013,ŽC6220,1.8,43.04085,17.6342,LC69012,lokalna cesta,7303,6.708077537174611,exact_road_name,high
6302,ZC,ŽC6268,Čara,LC69021,LC69022,1.1,42.93515,16.94465,ŽC6268,županijska cesta,6563,3.880659832755257,exact_road_name,high
6401,DC,DC414,Golubinica,LC69025,DC415,6.7,42.97497,17.26918,DC414,državna cesta,3919,17.211807518154515,exact_road_name,high
6403,DC,DC118,Žrnovo,LC69073,LC69073,1.5,42.938026,17.104267,DC118,državna cesta,347,0.04464967878448886,exact_road_name,high
6404,DC,DC415,Košarni Do,LC69026,DC414,1.4,42.97292,17.29688,DC415,državna cesta,3943,6.682413401004091,exact_road_name,high
6501,DC,DC236,Klek,DC8,ŽC6279,5.3,42.94192,17.56835,DC236,državna cesta,9083,6.510795198192329,exact_road_name,high
6502,DC,DC414,Putniković,ŽC6226,DC8,6.0,42.862577,17.552013,DC414,državna cesta,3920,3.865794632222403,exact_road_name,high
6503,DC,DC237,Zaton Doli,ŽC6227,ŽC6295,6.1,42.835776,17.745685,DC237,državna cesta,9085,1.5973282192431846,exact_road_name,high
6504,DC,DC120,Babino Polje,LC69072,LC69072,3.0,42.733889,17.552573,DC120,državna cesta,360,4.016654544582018,exact_road_name,high
6505,ZC,ŽC6295,Zamaslina,LC69066,DC237,5.1,42.831077,17.733162,ŽC6295,županijska cesta,9090,0.8442953398043715,exact_road_name,high
6506,DC,DC8,Doli,LC69045,LC69082,7.6,42.81003,17.8046,DC8,državna cesta,7642,2.8531163137903603,exact_road_name,high
6507,ZC,ŽC6227,Bistrina,LC69088,DC8,1.4,42.87515,17.6999,ŽC6227,županijska cesta,6501,15.28006205914309,exact_road_name,high
6508,ZC,ŽC6228,Trnova,LC69083,LC69068,1.2,42.80955,17.85758,ŽC6228,županijska cesta,6504,2.4783591601871615,exact_road_name,high
6509,ZC,ŽC6294,Doli - sjever,ŽC6228,DC8,4.3,42.81928,17.81163,ŽC6294,županijska cesta,9063,0.4570579140579758,exact_road_name,high
6510,DC,DC8,Pelješki most,DC236,LC69030,6.2,42.94622,17.5372,DC8,državna cesta,7630,3.2213688390047417,exact_road_name,high
6511,DC,DC8,Prapratno,DC414,DC416,10.7,42.84398,17.59947,DC8,državna cesta,7630,13.70490446229054,exact_road_name,high
6512,DC,DC8,Ston obilaznica,DC416,DC8,7.4,42.82252,17.74055,DC8,državna cesta,7630,9.838215600669953,exact_road_name,high
6601,DC,DC8,Zaton,LC69067,DC420,26.5,42.691461,18.038306,DC8,državna cesta,7700,0.0477251630766447,exact_road_name,high
6602,DC,DC8,Kupari,LC69050,LC69050,2.7,42.622532,18.181887,DC8,državna cesta,7632,2.4084984440219297,exact_road_name,high
6604,DC,DC8,Gruda - jugoistok,ŽC6241,DC516,2.6,42.514553,18.376278,DC8,državna cesta,7632,5.553307608884213,exact_road_name,high
6606,ZC,ŽC6238,Cavtat,Cavtat,DC8,2.6,42.57618,18.23395,ŽC6238,županijska cesta,6514,7.659993431042023,exact_road_name,high
6607,ZC,ŽC6240,Čilipi,DC8,LC69054,3.4,42.55265,18.27557,ŽC6240,županijska cesta,6520,3.1524037321415608,exact_road_name,high
6608,DC,DC8,Vidikovac,DC420,DC223,7.8,42.63443,18.1365,DC8,državna cesta,7652,11.370319560375984,exact_road_name,high
6609,DC,DC420,Sustjepan,DC8,luka,2.8,42.66907,18.0888,DC420,državna cesta,4072,1.4900717209575827,exact_road_name,high
6610,DC,DC223,Dubac,ŽC6243,DC8,1.7,42.6312,18.15648,DC223,državna cesta,1443,1.0216011337972484,exact_road_name,high
